order_id,customer_id,product_id,product_name,category,producer_id,quantity,price,order_date,delivery_date,order_total,status
1,11,48,Lemon Curd (300g),preserves,9,3,4,04/04/2025,06/04/2025,28.3,delivered
1,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,04/04/2025,06/04/2025,28.3,delivered
1,11,26,Mature Cheddar (250g),dairy,3,1,5.8,04/04/2025,06/04/2025,28.3,delivered
2,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,13/04/2025,15/04/2025,12.7,delivered
2,11,25,Semi Skimmed Milk (2 litres),dairy,3,1,2.2,13/04/2025,15/04/2025,12.7,delivered
3,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,22/04/2025,24/04/2025,10.5,delivered
4,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,02/05/2025,04/05/2025,18.5,delivered
4,11,48,Lemon Curd (300g),preserves,9,2,4,02/05/2025,04/05/2025,18.5,delivered
5,11,48,Lemon Curd (300g),preserves,9,3,4,06/05/2025,08/05/2025,12,delivered
6,11,48,Lemon Curd (300g),preserves,9,1,4,10/05/2025,12/05/2025,11,delivered
6,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,10/05/2025,12/05/2025,11,delivered
7,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,14/05/2025,16/05/2025,19,delivered
7,11,48,Lemon Curd (300g),preserves,9,3,4,14/05/2025,16/05/2025,19,delivered
8,11,48,Lemon Curd (300g),preserves,9,1,4,19/05/2025,21/05/2025,11.5,delivered
8,11,28,Double Cream (300ml),dairy,3,3,2.5,19/05/2025,21/05/2025,11.5,delivered
9,11,48,Lemon Curd (300g),preserves,9,2,4,29/05/2025,31/05/2025,15,delivered
9,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,29/05/2025,31/05/2025,15,delivered
10,11,48,Lemon Curd (300g),preserves,9,1,4,06/06/2025,08/06/2025,12.3,delivered
10,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,06/06/2025,08/06/2025,12.3,delivered
10,11,40,Granola (500g),bakery,6,1,4.8,06/06/2025,08/06/2025,12.3,delivered
11,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,11/06/2025,13/06/2025,11.5,delivered
11,11,48,Lemon Curd (300g),preserves,9,2,4,11/06/2025,13/06/2025,11.5,delivered
12,11,48,Lemon Curd (300g),preserves,9,3,4,18/06/2025,20/06/2025,25,delivered
12,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,18/06/2025,20/06/2025,25,delivered
12,11,28,Double Cream (300ml),dairy,3,1,2.5,18/06/2025,20/06/2025,25,delivered
13,11,48,Lemon Curd (300g),preserves,9,2,4,22/06/2025,24/06/2025,15,delivered
13,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,22/06/2025,24/06/2025,15,delivered
14,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,29/06/2025,01/07/2025,11.5,delivered
14,11,48,Lemon Curd (300g),preserves,9,2,4,29/06/2025,01/07/2025,11.5,delivered
15,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,05/07/2025,07/07/2025,18.2,delivered
15,11,18,Blackberries (200g),fruit,10,1,3.2,05/07/2025,07/07/2025,18.2,delivered
15,11,48,Lemon Curd (300g),preserves,9,2,4,05/07/2025,07/07/2025,18.2,delivered
16,11,18,Blackberries (200g),fruit,10,1,3.2,10/07/2025,12/07/2025,21.7,delivered
16,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,10/07/2025,12/07/2025,21.7,delivered
16,11,48,Lemon Curd (300g),preserves,9,2,4,10/07/2025,12/07/2025,21.7,delivered
17,11,48,Lemon Curd (300g),preserves,9,1,4,17/07/2025,19/07/2025,14.2,delivered
17,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,17/07/2025,19/07/2025,14.2,delivered
17,11,18,Blackberries (200g),fruit,10,1,3.2,17/07/2025,19/07/2025,14.2,delivered
18,11,18,Blackberries (200g),fruit,10,1,3.2,23/07/2025,25/07/2025,10.7,delivered
18,11,48,Lemon Curd (300g),preserves,9,1,4,23/07/2025,25/07/2025,10.7,delivered
18,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,23/07/2025,25/07/2025,10.7,delivered
19,11,18,Blackberries (200g),fruit,10,2,3.2,31/07/2025,02/08/2025,13.4,delivered
19,11,2,Heritage Potatoes (2kg),vegetables,2,2,3.5,31/07/2025,02/08/2025,13.4,delivered
20,11,18,Blackberries (200g),fruit,10,2,3.2,10/08/2025,12/08/2025,21.9,delivered
20,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,10/08/2025,12/08/2025,21.9,delivered
20,11,48,Lemon Curd (300g),preserves,9,3,4,10/08/2025,12/08/2025,21.9,delivered
21,11,48,Lemon Curd (300g),preserves,9,3,4,15/08/2025,17/08/2025,28.9,delivered
21,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,15/08/2025,17/08/2025,28.9,delivered
21,11,18,Blackberries (200g),fruit,10,2,3.2,15/08/2025,17/08/2025,28.9,delivered
22,11,48,Lemon Curd (300g),preserves,9,3,4,22/08/2025,24/08/2025,33.5,delivered
22,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,22/08/2025,24/08/2025,33.5,delivered
22,11,16,Strawberries (400g),fruit,4,4,4.5,22/08/2025,24/08/2025,33.5,delivered
23,11,48,Lemon Curd (300g),preserves,9,3,4,26/08/2025,28/08/2025,44.1,delivered
23,11,18,Blackberries (200g),fruit,10,2,3.2,26/08/2025,28/08/2025,44.1,delivered
23,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,26/08/2025,28/08/2025,44.1,delivered
23,11,17,Raspberries (200g),fruit,4,4,3.8,26/08/2025,28/08/2025,44.1,delivered
24,11,48,Lemon Curd (300g),preserves,9,3,4,31/08/2025,02/09/2025,18.7,delivered
24,11,18,Blackberries (200g),fruit,10,1,3.2,31/08/2025,02/09/2025,18.7,delivered
24,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,31/08/2025,02/09/2025,18.7,delivered
25,11,48,Lemon Curd (300g),preserves,9,1,4,07/09/2025,09/09/2025,7.2,delivered
25,11,18,Blackberries (200g),fruit,10,1,3.2,07/09/2025,09/09/2025,7.2,delivered
26,11,48,Lemon Curd (300g),preserves,9,2,4,13/09/2025,15/09/2025,21.7,delivered
26,11,18,Blackberries (200g),fruit,10,1,3.2,13/09/2025,15/09/2025,21.7,delivered
26,11,2,Heritage Potatoes (2kg),vegetables,2,3,3.5,13/09/2025,15/09/2025,21.7,delivered
27,11,2,Heritage Potatoes (2kg),vegetables,2,1,3.5,20/09/2025,22/09/2025,21.9,delivered
27,11,48,Lemon Curd (300g),preserves,9,3,4,20/09/2025,22/09/2025,21.9,delivered
27,11,18,Blackberries (200g),fruit,10,2,3.2,20/09/2025,22/09/2025,21.9,delivered
28,11,18,Blackberries (200g),fruit,10,1,3.2,30/09/2025,02/10/2025,13.7,delivered
